 0,83     0,89     0,05     0,77     0,86     0,56     0,76    
-0,79    -0,68    -0,28    -0,39    -0,97    -0,41     0,17    
-0,93    -0,85    -0,26    -0,47    -1,08    -0,04    -0,14    
 0,18     0,15     0,15     0,16     0,34    -1,55    -0,55    
 0,78     0,76     0,18     0,49     0,79    -0,56     0,67    
-0,91    -0,92    -0,13    -0,86    -0,89     0,77    -0,50    
-0,56    -0,55    -0,03    -0,51    -0,48     0,30    -0,64    
-0,16    -0,27     0,23    -0,53     0,14    -0,82    -0,90    
-0,94    -1,08     0,08    -1,15    -0,81    -0,99    -0,70    
 0,39     0,25     0,34    -0,58     0,83    -0,24    -0,53    
-1,10    -1,14    -0,13    -1,15    -1,05     1,00    -0,54    
-0,73    -0,76    -0,02    -0,89    -0,54     0,27    -0,99    
-0,88    -0,93    -0,03    -0,85    -0,73     1,29    -0,69    
 0,77     0,63     0,36     0,45     1,09    -0,49     0,15    
-1,13    -1,11    -0,25    -1,02    -1,06     2,00    -0,90    
 0,09    -0,01     0,27    -0,11     0,52    -0,38    -0,45    
 0,18     0,26     0,00     0,56     0,02     0,51     0,77    
-0,28    -0,30     0,08    -0,42    -0,15    -1,32    -0,81    
-0,91    -1,04     0,07    -1,08    -0,71    -0,05    -1,07    
 0,47     0,47     0,14     0,54     0,55     0,05     1,02    
 1,56     1,65     0,01     1,48     1,36    -0,01     1,11    
-0,72    -0,68    -0,14    -0,51    -0,77    -0,79    -1,07    
 0,58     0,60     0,11     0,54     0,53     1,22     0,94    
 0,14     0,21     0,00     0,30     0,14    -0,98    -0,37    
-1,31    -1,19    -0,51    -0,67    -1,43     2,01    -0,49    
-0,46    -0,54     0,14    -0,61    -0,26    -0,96    -0,46    
-0,72    -0,90     0,25    -1,22    -0,27    -0,58    -1,15    
 1,80     1,86     0,04     2,10     1,35    -1,16     2,08    
-1,38    -1,22    -0,59    -0,77    -1,58     0,98    -0,44    
 0,26     0,42    -0,13     0,45     0,07    -0,65     0,69    
-0,57    -0,69     0,17    -0,86    -0,07     3,06    -0,70    
-1,23    -1,30    -0,14    -1,18    -1,16     0,19    -0,81    
 0,45     0,59    -0,06     0,48     0,35     0,38     0,77    
-1,17    -1,09    -0,36    -1,00    -1,38    -0,98    -0,55    
-0,70    -0,83     0,15    -1,03    -0,34     0,78    -0,99    
 0,69     0,83    -0,06     1,12     0,52     0,00     1,11    
 1,49     1,58     0,01     1,63     1,08    -0,23     1,64    
-1,35    -1,34    -0,31    -1,28    -1,39     1,13    -0,72    
-1,18    -1,23    -0,15    -1,19    -1,24     0,83    -1,16    
 0,24     0,25     0,11     0,32     0,38     0,84     0,88    
 1,58     1,48     0,27     1,07     1,62     0,40     1,20    
 1,42     1,60    -0,12     2,03     1,05    -0,01     2,17    
-0,67    -0,60    -0,16    -0,29    -0,60     1,65    -0,18    
-1,03    -1,03    -0,18    -1,00    -1,08    -0,07    -0,73    
 0,68     0,85    -0,08     0,81     0,58     0,65     0,93    
-0,19    -0,30     0,23    -0,51     0,10     1,98    -0,81    
 1,33     1,25     0,26     0,83     1,53     1,08     0,94    
 1,24     1,19     0,21     1,05     1,31    -0,97     0,77    
